id,section_number,section_title,subsection_id,subsection_title,content_type,title,description,placeholder,notes
13,ثالثًا,اختبار صحة فروض البحث,3.1,الفرض الأول,نص,التأثير الرئيسي لنمط الحشد على حل المشكلات,"لا يوجد فرق دال إحصائيًا يرجع للتأثير الرئيسي لنمط الحشد",NONE,نص الفرض
14,ثالثًا,اختبار صحة فروض البحث,3.1,جدول (3),جدول,نتائج ANOVA لنمط الحشد - حل المشكلات,"جدول Two-way ANOVA التأثير الرئيسي لنمط الحشد على حل المشكلات",STATS,SPSS GLM Univariate
15,ثالثًا,اختبار صحة فروض البحث,3.1,تفسير الفرض الأول,نص,تفسير نتيجة الفرض الأول,"تفسير قيمة F ومستوى الدلالة ومربع إيتا",STATS,بعد الجدول
16,ثالثًا,اختبار صحة فروض البحث,3.2,الفرض الثاني,نص,التأثير الرئيسي للزمن على حل المشكلات,"لا يوجد فرق دال إحصائيًا يرجع للتأثير الرئيسي للزمن",NONE,نص الفرض
17,ثالثًا,اختبار صحة فروض البحث,3.2,جدول (4),جدول,نتائج ANOVA للزمن - حل المشكلات,"جدول Two-way ANOVA التأثير الرئيسي للزمن على حل المشكلات",STATS,SPSS GLM Univariate
18,ثالثًا,اختبار صحة فروض البحث,3.2,تفسير الفرض الثاني,نص,تفسير نتيجة الفرض الثاني,"تفسير قيمة F ومستوى الدلالة",STATS,بعد الجدول
19,ثالثًا,اختبار صحة فروض البحث,3.3,الفرض الثالث,نص,التفاعل نمط × زمن على حل المشكلات,"لا يوجد تأثير دال للتفاعل بين نمط الحشد والزمن",NONE,نص الفرض
20,ثالثًا,اختبار صحة فروض البحث,3.3,جدول (5),جدول,جدول ANOVA الكامل - حل المشكلات,"جدول Two-way ANOVA الكامل لحل المشكلات (نمط + زمن + تفاعل + خطأ + كلي)",STATS,SPSS GLM Univariate
21,ثالثًا,اختبار صحة فروض البحث,3.3,شكل (3),شكل,مخطط التفاعل - حل المشكلات,"مخطط التفاعل بين نمط الحشد والزمن لحل المشكلات",FIGURES,Interaction Plot
22,ثالثًا,اختبار صحة فروض البحث,3.3,تفسير الفرض الثالث,نص,تفسير التفاعل على حل المشكلات,"تفسير وجود/عدم وجود تفاعل",STATS,بعد الشكل والجدول
23,ثالثًا,اختبار صحة فروض البحث,3.4,الفرض الرابع,نص,التأثير الرئيسي لنمط الحشد على التدفق الذهني,"لا يوجد فرق دال إحصائيًا يرجع للتأثير الرئيسي لنمط الحشد",NONE,نص الفرض
24,ثالثًا,اختبار صحة فروض البحث,3.4,جدول (6),جدول,نتائج ANOVA لنمط الحشد - التدفق الذهني,"جدول Two-way ANOVA التأثير الرئيسي لنمط الحشد على التدفق الذهني",STATS,SPSS GLM Univariate
25,ثالثًا,اختبار صحة فروض البحث,3.4,تفسير الفرض الرابع,نص,تفسير نتيجة الفرض الرابع,"تفسير قيمة F ومستوى الدلالة",STATS,بعد الجدول
26,ثالثًا,اختبار صحة فروض البحث,3.5,الفرض الخامس,نص,التأثير الرئيسي للزمن على التدفق الذهني,"لا يوجد فرق دال إحصائيًا يرجع للتأثير الرئيسي للزمن",NONE,نص الفرض
27,ثالثًا,اختبار صحة فروض البحث,3.5,جدول (7),جدول,نتائج ANOVA للزمن - التدفق الذهني,"جدول Two-way ANOVA التأثير الرئيسي للزمن على التدفق الذهني",STATS,SPSS GLM Univariate
28,ثالثًا,اختبار صحة فروض البحث,3.5,تفسير الفرض الخامس,نص,تفسير نتيجة الفرض الخامس,"تفسير قيمة F ومستوى الدلالة",STATS,بعد الجدول
29,ثالثًا,اختبار صحة فروض البحث,3.6,الفرض السادس,نص,التفاعل نمط × زمن على التدفق الذهني,"لا يوجد تأثير دال للتفاعل بين نمط الحشد والزمن",NONE,نص الفرض
30,ثالثًا,اختبار صحة فروض البحث,3.6,جدول (8),جدول,جدول ANOVA الكامل - التدفق الذهني,"جدول Two-way ANOVA الكامل للتدفق الذهني (نمط + زمن + تفاعل + خطأ + كلي)",STATS,SPSS GLM Univariate
31,ثالثًا,اختبار صحة فروض البحث,3.6,شكل (4),شكل,مخطط التفاعل - التدفق الذهني,"مخطط التفاعل بين نمط الحشد والزمن للتدفق الذهني",FIGURES,Interaction Plot
32,ثالثًا,اختبار صحة فروض البحث,3.6,تفسير الفرض السادس,نص,تفسير التفاعل على التدفق الذهني,"تفسير وجود/عدم وجود تفاعل",STATS,بعد الشكل والجدول
33,ثالثًا,اختبار صحة فروض البحث,3.7,جدول (9),جدول,Tukey HSD - حل المشكلات,"نتائج المقارنات البعدية Tukey HSD بين المجموعات الأربع لحل المشكلات",STATS,عند وجود تأثير دال
34,ثالثًا,اختبار صحة فروض البحث,3.8,جدول (10),جدول,Tukey HSD - التدفق الذهني,"نتائج المقارنات البعدية Tukey HSD بين المجموعات الأربع للتدفق الذهني",STATS,عند وجود تأثير دال
35,رابعًا,تفسير نتائج البحث ومناقشتها,4.0,مقدمة التفسير,نص,مقدمة القسم,"توضيح منهج التفسير في ضوء النظريات والدراسات",NONE,نص تمهيدي
36,رابعًا,تفسير نتائج البحث ومناقشتها,4.1,النتائج المرتبطة بحل المشكلات,نص,ملخص نتائج حل المشكلات,"ملخص نتائج الفروض 1-3",STATS,مبني على النتائج
37,رابعًا,تفسير نتائج البحث ومناقشتها,4.1,تفسير معايير التصميم لحل المشكلات,نص,تفسير في ضوء معايير التصميم,"الذكاء الجمعي - تقسيم المهام - التحفيز التنافسي - مرونة الوقت",NONE,نقاط تحليلية
38,رابعًا,تفسير نتائج البحث ومناقشتها,4.1,ربط بالنظريات - حل المشكلات,نظرية,النظريات الداعمة لحل المشكلات,"المعرفة الموزعة (Hutchins 1995) - الدوافع (Kaufman 2011) - الاتصالية (Downes 2019) - السلوك المخطط (Ajzen 2020)",NONE,ربط نظري - النظريات 4 من الإطار النظري
39,رابعًا,تفسير نتائج البحث ومناقشتها,4.1,دراسات سابقة مؤيدة - حل المشكلات,دراسة_سابقة,الدراسات المؤيدة لحل المشكلات,"وهبه 2023 - وهبه 2024 - المعتصم 2024 - كرسون 2025 - شيماء محمد 2023 - عمار 2023",STUDIES,دراسات سابقة موثقة من الفصل الثاني
40,رابعًا,تفسير نتائج البحث ومناقشتها,4.2,النتائج المرتبطة بالتدفق الذهني,نص,ملخص نتائج التدفق الذهني,"ملخص نتائج الفروض 4-6",STATS,مبني على النتائج
41,رابعًا,تفسير نتائج البحث ومناقشتها,4.2,تفسير معايير التصميم للتدفق,نص,تفسير في ضوء معايير التصميم,"الانغماس - توازن التحدي والمهارة - التغذية الراجعة - الأهداف الواضحة",NONE,نقاط تحليلية
42,رابعًا,تفسير نتائج البحث ومناقشتها,4.2,ربط بالنظريات - التدفق,نظرية,النظريات الداعمة للتدفق الذهني,"نظرية التدفق (Csikszentmihalyi 1990) - نظرية الدوافع (Kaufman 2011) - النظرية الاتصالية (Downes 2019)",NONE,ربط نظري من الإطار النظري فقط
43,رابعًا,تفسير نتائج البحث ومناقشتها,4.2,دراسات سابقة مؤيدة - التدفق,دراسة_سابقة,الدراسات المؤيدة للتدفق الذهني,"Yang 2019 - Schmitz 2018 - Morris 2013 CreativeWall - Morschheuser 2019 - أباظة 2011",STUDIES,دراسات من الفصل الثاني - تدفق أو زمن
43.5,رابعًا,تفسير نتائج البحث ومناقشتها,4.2,الأبعاد الثمانية للتدفق,نص,تفسير الأبعاد الثمانية لأباظة 2011,"تفسير نتائج كل بُعد من الأبعاد الثمانية: إدارة الوقت - تحديد الأهداف - النشاط العالي - الاندماج - التركيز - نسيان الذات - المتعة - الأداء التلقائي",STATS,8 أبعاد - متوافق مع الإطار النظري
44,رابعًا,تفسير نتائج البحث ومناقشتها,4.3,تفسير التفاعل,نص,تفسير التفاعل بين المتغيرات,"تفسير حالات وجود / عدم وجود تفاعل دال",STATS,سيناريوهين
45,رابعًا,تفسير نتائج البحث ومناقشتها,4.4,جدول مقارنة الدراسات,جدول,مقارنة مع الدراسات السابقة,"جدول مقارنة نتائج البحث الحالي مع الدراسات السابقة من الفصل الثاني - 9 دراسات نمط حشد + 6 دراسات زمن + 3 دراسات حل المشكلات",STUDIES,18 دراسة على الأقل من الإطار النظري
46,رابعًا,تفسير نتائج البحث ومناقشتها,4.5,تفسير النتائج غير المتوقعة,نص,تفسير النتائج غير المتوقعة,"تفسير أية نتائج مخالفة للتوقعات",STATS,عند الحاجة
47,خامسًا,التحليل الكيفي لبيانات البحث,5.0,مقدمة التحليل الكيفي,نص,مقدمة القسم,"توضيح مصادر البيانات الكيفية",NONE,نص تمهيدي
48,خامسًا,التحليل الكيفي لبيانات البحث,5.1,لوحة التحكم - تنافسي,نص,تحليل لوحة التحكم للمجموعات التنافسية,"نسبة دخول ومهام منجزة ونمط تفاعل",STATS,محتاج بيانات المنصة
49,خامسًا,التحليل الكيفي لبيانات البحث,5.1,لوحة التحكم - تشاركي,نص,تحليل لوحة التحكم للمجموعات التشاركية,"نسبة دخول ومساهمات مشتركة",STATS,محتاج بيانات المنصة
50,خامسًا,التحليل الكيفي لبيانات البحث,5.1,لوحة التحكم - زمن,نص,مقارنة الزمن المحدد والمفتوح,"متوسط زمن الإنجاز ونسبة المكتملين",STATS,محتاج بيانات المنصة
51,خامسًا,التحليل الكيفي لبيانات البحث,5.2,اقتباسات - البيئة الإلكترونية,اقتباس,آراء الطلاب في بيئة التعلم,"اقتباسات من الطلاب حول تجربتهم",QUOTES,ملاحظات ميدانية
52,خامسًا,التحليل الكيفي لبيانات البحث,5.2,اقتباسات - النمط التشاركي,اقتباس,آراء الطلاب في النمط التشاركي,"اقتباسات حول التعاون وتبادل الأفكار",QUOTES,ملاحظات ميدانية
53,خامسًا,التحليل الكيفي لبيانات البحث,5.2,اقتباسات - النمط التنافسي,اقتباس,آراء الطلاب في النمط التنافسي,"اقتباسات حول التنافس والدافعية",QUOTES,ملاحظات ميدانية
54,خامسًا,التحليل الكيفي لبيانات البحث,5.2,اقتباسات - الزمن المحدد,اقتباس,آراء الطلاب في الزمن المحدد,"اقتباسات حول إدارة الوقت والتوتر",QUOTES,ملاحظات ميدانية
55,خامسًا,التحليل الكيفي لبيانات البحث,5.2,اقتباسات - الزمن المفتوح,اقتباس,آراء الطلاب في الزمن المفتوح,"اقتباسات حول التفكير العميق",QUOTES,ملاحظات ميدانية
56,خامسًا,التحليل الكيفي لبيانات البحث,5.2,اقتباسات - حل المشكلات,اقتباس,آراء حول تنمية حل المشكلات,"اقتباسات حول تحليل وتجزئة المشكلات",QUOTES,ملاحظات ميدانية
57,خامسًا,التحليل الكيفي لبيانات البحث,5.2,اقتباسات - التدفق الذهني,اقتباس,آراء حول التدفق الذهني,"اقتباسات حول الانغماس والاستمتاع",QUOTES,ملاحظات ميدانية
58,خامسًا,التحليل الكيفي لبيانات البحث,5.3,السلبيات التقنية,نص,السلبيات التقنية,"مشكلات الإنترنت والمنصة",QUOTES,ملاحظات الطلاب
59,خامسًا,التحليل الكيفي لبيانات البحث,5.3,السلبيات - نمط الحشد,نص,سلبيات كل نمط,"إحباط التنافسي وتفاوت التشاركي",QUOTES,ملاحظات الطلاب
60,خامسًا,التحليل الكيفي لبيانات البحث,5.3,السلبيات - الزمن,نص,سلبيات الزمن,"توتر المحدد وتأجيل المفتوح",QUOTES,ملاحظات الطلاب
61,خامسًا,التحليل الكيفي لبيانات البحث,5.3,اقتراحات الطلاب,اقتباس,اقتراحات الطلاب,"توفير دعم - نمط هجين - توسيع التطبيق",QUOTES,ملاحظات الطلاب
62,خامسًا,التحليل الكيفي لبيانات البحث,5.4,ملاحظات الباحث,نص,ملاحظات الباحث الميدانية,"ملاحظات حول تفاعل الطلاب والمكافآت",QUOTES,يوميات الباحث
63,خامسًا,التحليل الكيفي لبيانات البحث,5.5,تحليل التفاعلات,نص,تحليل المحادثات والحلول,"تحليل التعليقات وجودة الحلول والابتكار",STATS,تحليل منصة
64,سادسًا,مخرجات البحث,6.0,مقدمة المخرجات,نص,مقدمة القسم,"تمهيد للمخرجات",NONE,نص تمهيدي
65,سادسًا,مخرجات البحث,6.1,قائمة المعايير,نص,قائمة معايير التصميم,"مستويات معيارية ومؤشرات",NONE,مخرج رئيسي
66,سادسًا,مخرجات البحث,6.2,البيئة المطورة,نص,بيئة التعلم الإلكترونية المطورة,"أربع صور من البيئة الإلكترونية",NONE,مخرج رئيسي
67,سادسًا,مخرجات البحث,6.3,اختبار حل المشكلات,نص,اختبار حل المشكلات,"أداة قياس من إعداد الباحث",NONE,مخرج رئيسي
68,سادسًا,مخرجات البحث,6.4,مقياس التدفق الذهني,نص,مقياس التدفق الذهني,"أداة قياس من إعداد الباحث أو مقتبسة",NONE,مخرج رئيسي
69,سادسًا,مخرجات البحث,6.5,الأثر على حل المشكلات,نص,أثر التفاعل على حل المشكلات,"نتيجة مبنية على الفروض 1-3",STATS,مبني على الفروض
70,سادسًا,مخرجات البحث,6.6,الأثر على التدفق الذهني,نص,أثر التفاعل على التدفق الذهني,"نتيجة مبنية على الفروض 4-6",STATS,مبني على الفروض
71,سادسًا,مخرجات البحث,6.7,تحديد الأفضل,نص,تحديد النمط والزمن الأفضل,"الخلاصة النهائية",STATS,مبني على النتائج
72,سادسًا,مخرجات البحث,6.8,نماذج التفاعل,نص,أنماط تفاعل الطلاب,"عوامل تعزز أو تقلل الفاعلية",NONE,تحليل
73,سادسًا,مخرجات البحث,6.9,الدليل الإرشادي,نص,دليل للمعلمين والمصممين,"دليل تطبيقي مستمد من النتائج",NONE,مخرج إجرائي
74,سابعًا,توصيات البحث,7.0,مقدمة التوصيات,نص,مقدمة القسم,"توصيات مبنية على النتائج",NONE,نص تمهيدي
75,سابعًا,توصيات البحث,7.1,توصيات للمعلمين,نص,توصيات للمعلمين والمدرسين,"توظيف نمط الحشد - تنويع الاستراتيجيات - تصميم المهام - إدارة الزمن",NONE,4 توصيات
76,سابعًا,توصيات البحث,7.2,توصيات للمصممين,نص,توصيات لمصممي البيئات الإلكترونية,"تضمين الحشد - معايير التصميم - دعم التفاعل - دعم التدفق",NONE,4 توصيات
77,سابعًا,توصيات البحث,7.3,توصيات لمخططي المناهج,نص,توصيات للقائمين على تخطيط المناهج,"إدراج حشد المصادر - تدريب المعلمين - البنية التحتية",NONE,3 توصيات
78,سابعًا,توصيات البحث,7.4,توصيات للطلاب,نص,توصيات للطلاب,"التفاعل مع البيئة - إدارة الوقت - تنمية حل المشكلات",NONE,3 توصيات
79,سابعًا,توصيات البحث,7.5,توصيات للباحثين,نص,توصيات للباحثين,"توسيع البحث - متغيرات إضافية - مناهج متنوعة",NONE,3 توصيات
80,سابعًا,توصيات البحث,7.6,توصيات للوزارة,نص,توصيات لوزارة التربية والتعليم,"التحول الرقمي - تطوير المعلمين - تقييم الأثر",NONE,3 توصيات
81,سابعًا,توصيات البحث,7.7,اعتبارات عامة,نص,الاعتبارات العامة,"تطبيق النظريات الخمس (المعرفة الموزعة - الدوافع - الاتصالية - السلوك المخطط - التدفق) - الفروق الفردية - التقييم المستمر",NONE,نقاط ختامية - النظريات الخمس من الإطار النظري
82,ثامنًا,البحوث المقترحة,8.0,مقدمة البحوث المقترحة,نص,مقدمة القسم,"تمهيد للبحوث المقترحة",NONE,نص تمهيدي
83,ثامنًا,البحوث المقترحة,8.1,بحوث - أنماط أخرى,نص,بحوث تتعلق بأنماط حشد أخرى,"النمط الهجين - الموجه/الحر - داخلي/خارجي",NONE,3 بحوث
84,ثامنًا,البحوث المقترحة,8.2,بحوث - متغيرات تابعة,نص,بحوث تتعلق بمتغيرات تابعة أخرى,"التفكير الناقد - الإبداعي - الذكاء الجمعي - ما وراء المعرفة",NONE,4 بحوث
85,ثامنًا,البحوث المقترحة,8.3,بحوث - متغيرات مستقلة,نص,بحوث تتعلق بمتغيرات مستقلة أخرى,"أساليب التعلم - صعوبة المهام - التغذية الراجعة - المكافأة",NONE,4 بحوث
86,ثامنًا,البحوث المقترحة,8.4,بحوث - مراحل عمرية,نص,بحوث تتعلق بمراحل عمرية أخرى,"ابتدائي - إعدادي - جامعي - معلمين",NONE,3 بحوث
87,ثامنًا,البحوث المقترحة,8.5,بحوث - مواد دراسية,نص,بحوث تتعلق بمواد مختلفة,"رياضيات - علوم - لغة عربية",NONE,3 بحوث
88,ثامنًا,البحوث المقترحة,8.6,بحوث - منصات وتقنيات,نص,بحوث تتعلق بمنصات وتقنيات,"تعلم نقال - ذكاء اصطناعي - VR/AR - تواصل اجتماعي",NONE,4 بحوث
89,ثامنًا,البحوث المقترحة,8.7,بحوث - مناهج بحثية,نص,بحوث بمناهج بحثية متنوعة,"نوعي - طولي - مقارن",NONE,3 بحوث
90,ثامنًا,البحوث المقترحة,8.8,بحوث - فئات خاصة,نص,بحوث لفئات خاصة,"موهوبون - صعوبات تعلم - مناطق نائية",NONE,3 بحوث
