========================================================================
       تقرير المراجعة اليدوية الشاملة للمراجع
       تاريخ المراجعة: 2026-03-02
========================================================================

تم مراجعة كل استشهاد في المتن (الإطار النظري) يدوياً ومقارنته بقائمة المراجع النهائية.

========================================================================
أولاً: المراجع العربية المستشهد بها في المتن
========================================================================

# | الاستشهاد في المتن                    | موجود في القائمة؟ | المرجع المقابل في القائمة
--|----------------------------------------|-------------------|---------------------------
29| Ajzen (2020)                           | ✅ نعم            | Ajzen, I. (2020).
30| Sharma & Foropon (2019)                | ✅ نعم            | Sharma, A., & Foropon, C. (2019).
31| Troll et al. (2016)                    | ✅ نعم            | Troll, J., et al. (2016).
32| Benz et al. (2019)                     | ✅ نعم            | Benz, C., et al. (2019).
33| Nakamura & Csikszentmihalyi (2009)     | ✅ نعم            | Nakamura, J., & Csikszentmihalyi, M. (2009).
34| Nakamura & Csikszentmihalyi (2001)     | ✅ نعم            | Nakamura, J., & Csikszentmihalyi, M. (2001).
35| Nakamura & Csikszentmihalyi (2002)     | ❌ لا             | [غير موجود - يوجد 2001 و 2009 فقط]
36| Gee (2003)                             | ✅ نعم            | Gee, J. P. (2003).
37| Csikszentmihalyi (1990)                | ✅ نعم            | Csikszentmihalyi, M. (1990). [أيضاً Mihaly, C. (1990) مكرر]
38| Lutz & Guiry (1994)                    | ✅ نعم            | Lutz, R. J., & Guiry, M. (1994).
39| Jackson et al. (2001)                  | ✅ نعم            | Jackson, S. A., et al. (2001).
40| Jackson & Marsh (1996)                 | ✅ نعم            | Jackson, S. A., & Marsh, H. W. (1996).
41| Nicic et al. (2014)                    | ✅ نعم            | Nicic, S., et al. (2014).
42| Hernandez & Voser (2019)               | ✅ نعم            | Hernandez, J. A. E., & Voser, R. D. C. (2019).
43| Rogatko (2009)                         | ✅ نعم            | Rogatko, P. (2009).
44| Tavares & Freire (2016)                | ✅ نعم            | Tavares, D., & Freire, T. (2016).
45| Leibovich de Figueroa & Gimenez (2013) | ✅ نعم            | Leibovich de Figueroa, N., et al. (2013).
46| Lemay (2007/2011)                      | ✅ نعم            | Lemay, P. (2007). [ملاحظة: في المتن يُكتب 2011 لكن القائمة 2007]
47| Reid (2011/2007)                       | ✅ نعم            | Reid, D. (2011). [ملاحظة: في المتن يُكتب 2007 لكن القائمة 2011]
48| Wagner et al. (2020)                   | ✅ نعم            | Wagner, L., et al. (2020).
49| Gözde (2014)                           | ✅ نعم            | Gözde, E. (2014).
50| Ishimura (2009)                        | ✅ نعم            | Ishimura, I. (2009).
51| Kuhnle & Hofer (2012)                  | ✅ نعم            | Kuhnle, C., et al. (2012).
52| Kim & Seo (2013)                       | ✅ نعم            | Kim, E., & Seo, E. H. (2013).
53| Csikszentmihalyi (1997/2014)           | ❌ لا             | [يُستشهد بـ Csikszentmihalyi 1997 و 2014 لكن غير موجودين بشكل منفصل في القائمة]
54| Csikszentmihalyi & Abuhamdeh (2012)    | ❌ لا             | [غير موجود في القائمة]
55| Van Merriënboer (2013)                 | ✅ نعم            | Van Merriënboer, J. J. G. (2013).
56| Çavaş et al. (2023)                    | ✅ نعم            | Çavaş, B., et al. (2023).
57| OECD (2013)                            | ✅ نعم            | OECD. (2013).
58| Chin & Chia (2006)                     | ✅ نعم            | Chin, C., & Chia, L. G. (2006).
59| Lawson (2003)                          | ✅ نعم            | Lawson, M. J. (2003).
60| Jonassen (2006/2007)                   | ✅ نعم            | Jonassen, D. H. (2007). [ملاحظة: المتن يقول 2006 لكن القائمة 2007]
61| Morrison-Love (2017)                   | ✅ نعم            | Morrison-Love, D. (2017).
62| Funa et al. (2022)                     | ✅ نعم            | Funa, A. A., et al. (2022).
63| Rieckmann (2018)                       | ✅ نعم            | Rieckmann, M. (2018).
64| Hung (2019)                            | ✅ نعم            | Hung, W. (2019).
65| Bilgin (2006)                          | ✅ نعم            | Bilgin, I. (2006).
66| Keller (1999)                          | ✅ نعم            | Keller, R. (1999).
67| Simon (1973)                           | ✅ نعم            | Simon, H. A. (1973).
68| Michel et al. (2015)                   | ✅ نعم            | Michel, F., et al. (2015).
69| Jin et al. (2019)                      | ✅ نعم            | Jin, H., et al. (2019).
70| Hammon & Hippner (2012)                | ✅ نعم            | Hammon, L., & Hippner, H. (2012).
71| Morris et al. (2013)                   | ✅ نعم            | Morris, R. R., et al. (2013).
72| Morschheuser et al. (2017/2019)        | ✅ نعم            | Morschheuser, B., et al. (2017). [ملاحظة: المتن يقول 2019 لكن القائمة 2017]
73| Ben Amor et al. (2014)                 | ✅ نعم            | Ben Amor, I., et al. (2014).
74| Alfaro & Shavlovsky (2014)             | ✅ نعم            | Alfaro, L., & Shavlovsky, M. (2014).
75| Shuyan (2017)                          | ✅ نعم            | Shuyan, M. (2017).
76| Lacher & Gibson (2020)                 | ✅ نعم            | Lacher, L. L., & Gibson, C. M. (2020).
77| Whitehill & Seltzer (2017/2020)        | ✅ نعم            | Whitehill, J., & Seltzer, M. (2017). [ملاحظة: المتن يقول 2020 لكن القائمة 2017]
78| Empson (2014)                          | ✅ نعم            | Empson, R. (2014).
79| Ngoon et al. (2016)                    | ✅ نعم            | Ngoon, T. J., et al. (2016).
80| Dontcheva et al. (2014)                | ✅ نعم            | Dontcheva, M., et al. (2014).
81| Mukhopadhyay et al. (2020)             | ✅ نعم            | Mukhopadhyay, J., et al. (2020).
82| Saremi et al. (2022)                   | ✅ نعم            | Saremi, R., et al. (2022).
83| Lascău & Brumby (2021)                 | ✅ نعم            | Lascău, L., & Brumby, D. P. (2021).
84| Manam (2023)                           | ✅ نعم            | Manam, V. K. C. (2023).
85| Wang et al. (2011)                     | ✅ نعم            | Wang, J., et al. (2011).
86| Yang (2018)                            | ✅ نعم            | Yang, K. (2018).
87| Wang et al. (2021)                     | ✅ نعم            | Wang, D., et al. (2021).
88| Schmitz & Lykourentzou (2016)          | ✅ نعم            | Schmitz, H., & Lykourentzou, I. (2016).
89| Schmitz & Lykourentzou (2018)          | ✅ نعم            | Schmitz, H., & Lykourentzou, I. (2018).
90| Yang et al. (2016a)                    | ✅ نعم            | Yang, J., et al. (2016a).
91| Yang et al. (2016b)                    | ✅ نعم            | Yang, J., et al. (2016b).
92| Kucherbaev et al. (2015)               | ✅ نعم            | Kucherbaev, P., et al. (2015).
93| Yin et al. (2017)                      | ✅ نعم            | Yin, M., et al. (2017).
94| Yang & Qi (2021)                       | ✅ نعم            | Yang, K., & Qi, H. (2021).
95| Wang & Cui (2023)                      | ✅ نعم            | Wang, M., & Cui, X. (2023).
96| Wei et al. (2023)                      | ✅ نعم            | Wei, W., et al. (2023).
97| Yang (2019)                            | ✅ نعم            | Yang, K. (2019).
98| Ašeriškis & Damaševičius (2014)         | ✅ نعم            | Ašeriškis, D., & Damaševičius, R. (2014).
99| Biro (2013)                            | ✅ نعم            | Biro, G. I. (2013).
100| Lívero et al. (2021)                  | ✅ نعم            | Lívero, F. A., et al. (2021).
101| Luo (2022)                            | ✅ نعم            | Luo, Z. (2022).
102| Azevedo et al. (2022)                 | ✅ نعم            | Azevedo, A., et al. (2022).
103| Rodil et al. (2022)                   | ✅ نعم            | Rodil, K., et al. (2022).
104| Piezunka & Dahlander (2023)           | ✅ نعم            | Piezunka, H., & Dahlander, L. (2023).
105| Straume (2008)                        | ✅ نعم            | Straume, L.V. (2008).
106| Funa & Prudente (2021)                | ✅ نعم            | Funa, A. A., & Prudente, M. S. (2021). [ملاحظة: لم يُستشهد بها مباشرة في المتن المعروض]
107| De Boeck & Scalise (2019)             | ✅ نعم            | De Boeck, P., & Scalise, K. (2019). [ملاحظة: Sharma et al. 2022 = هذا المرجع المقصود]

========================================================================
ثالثاً: مراجع مذكورة في المتن بأسماء مختلفة عن القائمة (تحتاج انتباه)
========================================================================

# | الاسم في المتن              | الاسم في القائمة              | ملاحظة
--|------------------------------|-------------------------------|--------
1 | عبد الغفار (2018)           | سرحان، أحمد محمد عبد الغفار  | يُستشهد بالاسم الثالث بدل الأول
2 | نبيل السيد (2013 و 2021)    | محمد، نبيل السيد              | يُستشهد بالاسم الأوسط بدل العائلة
3 | شرين السيد ووفاء محمود      | السيد، شرين... ورجب، وفاء    | يُستشهد بالأسماء الأولى
4 | شيماء مصطفى محمد (2023)     | إبراهيم، شيماء مصطفى محمد    | يُستشهد بالاسم الأوسط
5 | أسماء عبد الصمد (2018)      | عبد الصمد، أسماء السيد        | يُستشهد بالاسم + اللقب
6 | عبد العزيز طلبة وآخرون     | عبد الحميد، عبد العزيز طلبة  | يُستشهد بالاسم الأوسط
7 | Lemay (2011)                | Lemay, P. (2007)              | اختلاف في السنة
8 | Reid (2007)                 | Reid, D. (2011)               | اختلاف في السنة
9 | Jonassen (2006)             | Jonassen, D. H. (2007)        | اختلاف في السنة
10| Whitehill & Seltzer (2020)  | Whitehill, J., & Seltzer, M. (2017) | اختلاف في السنة
11| Morschheuser et al. (2019)  | Morschheuser, B., et al. (2017) | اختلاف في السنة
12| بلال (2024)                 | أباصيري، محمد بلال (2024)     | قد يكون نفس المرجع مُستشهد باسم مختلف
13| حسن (2021)                 | محمد، نبيل السيد (2021)       | ✅ تأكّد: يُستشهد باسم العائلة بدل الأوسط
14| خليل ورجب (2022)           | السيد ورجب (2022)             | ✅ تأكّد: يُستشهد باسم مختلف
15| Wimbauer et al. (2020)     | Wimbauer, L. K. (2020)        | ✅ تأكّد: بدون et al. — مؤلف واحد

========================================================================
رابعاً: مراجع مذكورة في المتن لكن غير موجودة نهائياً في القائمة
========================================================================

المراجع العربية المفقودة من القائمة:
1.  خميس (2015)
2.  وهبه (2023)
3.  مرسي (2024)
4.  كرسون وآخرون (2025)
5.  حسن (2021) ← ✅ تأكّد: نفسه نبيل السيد 2021 [تم نقله لقسم اختلاف الأسماء]
6.  خليل ورجب (2022) ← ✅ تأكّد: نفسه السيد ورجب 2022 [تم نقله لقسم اختلاف الأسماء]
7.  خميس وآخرون (2022)
8.  مصطفي (2023) [إذا كانت مختلفة عن إبراهيم شيماء مصطفى 2023]
9.  عبدالله (2023)
10. السيد والشربيني (2023)
11. السيد وآخرون (2023) [مختلف عن السيد والشربيني]
12. عبد المعبود (2023)
13. ربيع (2023)
14. عبد الله وسالم (2024)
15. خليفة ومحمد (2024)
16. سالم وهداية (2024)
17. الدوسري وآخرون (2025)
18. وليد يوسف (2020)
19. محمود (2015)
20. العطار (2019)
21. العبيدي (2016)
22. بقعة وقارني (2018)
23. قطامي (2007)
24. نهاري بن ياسين (2012)
25. أيمن الجوهري (2012)
26. عبد العال (2023)

المراجع الأجنبية المفقودة من القائمة:
1.  Nakamura & Csikszentmihalyi (2002)
2.  Csikszentmihalyi (1997) [كمرجع منفصل]
3.  Csikszentmihalyi (2014) [كمرجع منفصل]
4.  Csikszentmihalyi & Abuhamdeh (2012)
5.  Hong et al. (2020)
6.  Kharaghi (2018)
7.  Khan et al. (2019) [= Campo et al., 2019? يحتاج تأكيد]
8.  Klingner et al. (2007)
9.  Woolson (2014)
10. Bransford & Stein [بدون سنة محددة]
11. Cunningham (2011)
12. Kapp (2012)
13. Zichermann & Kapp [بدون سنة]
14. Areed et al. (2021)
15. Donlon et al. (2019/2020)
16. Saxton et al. (2013/2019/2020)
17. Mateo et al. (2021)
18. Lewandowska-Tomaszczyk (2023)
19. Sun et al. (2018)
20. Zahirovi et al. (2019)
21. Palvia et al. (2019) ← ✅ تأكّد: مستشهد بيه في تعريف حشد المصادر التنافسي [تم حذفه]
22. Hosseini et al. (2014) ← ✅ تأكّد: مستشهد بيه [تم حذفه]
23. Sharma et al. (2022) - حل المشكلات التعاوني [مختلف عن Sharma & Foropon 2019]
24. Jiang et al. (2022) [ملاحظة: يوجد Jiang & Daniel 2018 فقط]
25. Wimbauer et al. (2020) ← ✅ تأكّد: نفسه Wimbauer (2020) [تم نقله لقسم اختلاف الأسماء]

========================================================================
خامساً: مراجع موجودة في القائمة لكن لم يُستشهد بها في المتن
========================================================================

المراجع العربية في القائمة غير المستشهد بها:
1.  أباظة (2012) - [غير مستشهد بها مباشرة في المتن المعروض]
2.  بكر (2015) - [غير مستشهد بها مباشرة في المتن المعروض]

المراجع الأجنبية في القائمة غير المستشهد بها:
1.  Adamczyk et al. (2012)
2.  Asare & Kwanya (2018) ← ✅ تأكّد: مستشهد بيه في تعريف حشد المصادر التنافسي
3.  Carter Jr et al. (2020)
4.  Csikszentmihalyi & Nakamura (1999)
5.  Funa & Prudente (2021)
6.  Jackson et al. (2008) [Jackson, Martin & Eklund - المستشهد به هو Jackson et al. 2001]
7.  Kornfield et al. (2022)
8.  Lee (2010)
9.  Palvia et al. (2019) ← ✅ تأكّد: مستشهد بيه في تعريف حشد المصادر التنافسي
10. UNESCO (2020)
11. Woods (1987)
12. Hosseini, S. (2014) ← ✅ تأكّد: مستشهد بيه

[ملاحظة: بعض هذه المراجع قد تكون مستشهد بها في أجزاء أخرى من الرسالة غير الإطار النظري المعروض]

========================================================================
سادساً: ملخص الإحصائيات النهائية
========================================================================

إجمالي الاستشهادات الفريدة في المتن (تقريباً): ~130 استشهاد فريد
إجمالي المراجع في القائمة: ~140 مرجع (30 عربي + ~110 أجنبي)

[تحديث 2026-03-02 23:10 - بعد التأكيد اليدوي]
المتطابقة بشكل صحيح: ~98 مرجع (+3 تأكدنا منهم)
المتطابقة مع اختلاف في الاسم أو السنة: ~15 حالة (تحتاج تصحيح) (+3 حالات جديدة مؤكدة)
مستشهد بها في المتن لكن غير موجودة في القائمة: ~24 عربي + ~21 أجنبي = ~45 مرجع مفقود (كان 51)
في القائمة لكن غير مستشهد بها في المتن: ~2 عربي + ~9 أجنبي = ~11 مرجع (كان 14)

========================================================================
سابعاً: التوصيات (محدّثة)
========================================================================

1. ⚠️ إضافة ~45 مرجعاً مفقوداً إلى قائمة المراجع النهائية (أو حذف الاستشهاد من المتن)
2. ⚠️ تصحيح اختلافات السنوات (~5 حالات: Lemay, Reid, Jonassen, Whitehill, Morschheuser)
3. ⚠️ توحيد 15 حالة اختلاف في الأسماء بين المتن والقائمة
4. ⚠️ التأكد من المراجع الـ11 الموجودة في القائمة لكن غير مستشهد بها - هل تم الاستشهاد بها في أجزاء أخرى؟
5. ⚠️ توحيد طريقة الاستشهاد بالأسماء العربية (مثل: هل نستخدم اسم العائلة أم الاسم الثالث؟)
